SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1838,83.465,-25.797,3.694,79.796,-24.281,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.343,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2096,-0.2099,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3932,114.8872,18.3002,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230555.7077,3320443.8318,4046258.6885,-3057.848,-3553.119,6107.654,4230514.3145,3320328.9446,4046240.3882,-3057.757,-3553.104,6107.545,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.060139005768946,0.15472879499304582,-0.417325,6.18898193463615,14.71713144483203,,
0.3856,83.452,-25.828,3.691,79.784,-24.31,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.372,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0395,-0.2093,-0.2096,-0.3523,-0.9121,-0.0376,0.9351,-0.3525,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3748,114.8842,18.3222,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229939.7986,3319728.2069,4047488.5543,-3058.9619,-3553.9933,6106.5884,4229898.4237,3319613.3227,4047470.2321,-3058.871,-3553.9783,6106.4793,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.090401779198416,0.15472879499304582,-0.41725999999999996,6.20059361145881,14.714839194082819,,
0.5866,83.439,-25.859,3.688,79.771,-24.34,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.4,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.2089,-0.2093,-0.3526,-0.9121,-0.0375,0.9349,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3564,114.8812,18.3443,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229321.3103,3319009.6715,4048722.9055,-3060.0799,-3554.8706,6105.5184,4229279.9539,3318894.7904,4048704.5613,-3059.989,-3554.8557,6105.4093,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.120666626255925,0.15472879499304582,-0.417195,6.192543945498753,14.712546943333608,,
0.7879,83.426,-25.89,3.685,79.759,-24.369,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.429,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3532,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3382,114.8782,18.3661,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228707.3974,3318296.535,4049947.4644,-3061.189,-3555.741,6104.4563,4228666.0592,3318181.6569,4049929.0982,-3061.0982,-3555.7261,6104.3472,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.150933539741942,0.15472879499304582,-0.41713,6.2041532394810925,14.7102546925844,,
0.9899,83.413,-25.921,3.682,79.746,-24.398,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.457,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2087,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3199,114.8751,18.3882,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228088.8965,3317578.154,4051180.5116,-3062.3059,-3556.6174,6103.3864,4228047.5767,3317463.2789,4051162.1234,-3062.2151,-3556.6025,6103.2772,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.181202512489758,0.15472879499304582,-0.41706499999999996,6.210036975896238,14.707962441835189,,
1.1912,83.4,-25.952,3.679,79.734,-24.427,3.509,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.486,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0398,-0.2078,-0.2083,-0.3535,-0.9119,-0.0371,0.9346,-0.3538,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3016,114.8721,18.4102,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227472.0912,3316861.8269,4052409.5156,-3063.4192,-3557.4909,6102.3195,4227430.7896,3316746.9548,4052391.1054,-3063.3284,-3557.476,6102.2103,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.211473537365276,0.15472879499304582,-0.41700000000000004,6.221641086851003,14.70567019108598,,
1.3918,83.387,-25.983,3.676,79.722,-24.456,3.506,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.514,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2075,-0.208,-0.3539,-0.9119,-0.037,0.9344,-0.3542,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1093,41.2833,114.8691,18.4321,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226856.9214,3316147.4836,4053634.6026,-3064.5289,-3558.3616,6101.2555,4226815.6381,3316032.6145,4053616.1704,-3064.4382,-3558.3466,6101.1462,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.241746607266826,0.15472879499304582,-0.416935,6.233246614022527,14.703377940336768,,
1.5923,83.374,-26.014,3.673,79.709,-24.485,3.503,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.543,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2071,-0.2077,-0.3542,-0.9118,-0.0369,0.9343,-0.3545,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2651,114.8661,18.4541,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226241.0963,3315432.4631,4054860.3363,-3065.6393,-3559.2327,6100.1904,4226199.8311,3315317.5969,4054841.8822,-3065.5486,-3559.2177,6100.0811,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.272021715125007,0.15472879499304582,-0.41686999999999996,6.2391049711533375,14.701085689587558,,
1.7931,83.361,-26.045,3.67,79.697,-24.514,3.5,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.571,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2068,-0.2074,-0.3545,-0.9118,-0.0368,0.9342,-0.3549,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.247,114.8631,18.4759,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225630.6586,3314723.7807,4056074.6978,-3066.7394,-3560.0957,6099.1347,4225589.4115,3314608.9175,4056056.2219,-3066.6487,-3560.0807,6099.0253,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.302298853902485,0.15472879499304582,-0.41680500000000004,6.250705228112716,14.698793438838349,,
1.9952,83.347,-26.076,3.667,79.685,-24.544,3.497,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.599,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2064,-0.2071,-0.3548,-0.9117,-0.0367,0.9341,-0.3552,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2287,114.8601,18.498,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225008.0705,3314001.0771,4057312.5653,-3067.8608,-3560.9753,6098.058,4224966.8418,3313886.217,4057294.0673,-3067.7701,-3560.9604,6097.9486,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.332578016593818,0.15472879499304582,-0.41673499999999997,6.25395668828546,14.69632486110843,,
2.1966,83.334,-26.107,3.664,79.673,-24.573,3.493,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.628,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2061,-0.2067,-0.3551,-0.9117,-0.0365,0.9339,-0.3555,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2104,114.8571,18.5201,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224390.5504,3313284.3411,4058539.6935,-3068.9725,-3561.8473,6096.9902,4224349.34,3313169.484,4058521.1734,-3068.8819,-3561.8323,6096.8808,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.362859196225283,0.15472879499304582,-0.41667000000000004,6.265904374359647,14.694032610359221,,
2.3978,83.321,-26.138,3.661,79.66,-24.602,3.49,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.656,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9778,-0.0403,-0.2057,-0.2064,-0.3555,-0.9116,-0.0364,0.9338,-0.3559,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1095,41.1922,114.8541,18.5421,0.0,0.0435,-0.3742,0.0,0.0,0.0,4223772.8728,3312567.507,4059766.4765,-3070.0839,-3562.719,6095.9222,4223731.6806,3312452.6529,4059747.9344,-3069.9933,-3562.704,6095.8127,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.393142385854702,0.15472879499304582,-0.416605,6.271743967564031,14.69174035961001,,
2.6002,83.308,-26.169,3.658,79.648,-24.631,3.487,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.685,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9779,-0.0404,-0.2053,-0.2061,-0.3558,-0.9116,-0.0363,0.9337,-0.3562,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0905,-0.0149,0.1095,41.1739,114.8511,18.5642,0.0,0.0435,-0.3742,0.0,0.0,0.0,4223151.9226,3311846.9591,4060999.094,-3071.2007,-3563.5948,6094.8485,4223110.7488,3311732.108,4060980.5298,-3071.1101,-3563.5799,6094.739,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.423427578571253,0.15472879499304582,-0.41654,6.283356219510939,14.689448108860802,,
2.8014,83.295,-26.2,3.654,79.636,-24.66,3.484,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.713,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9779,-0.0404,-0.205,-0.2058,-0.3561,-0.9115,-0.0362,0.9336,-0.3566,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0905,-0.0149,0.1096,41.1557,114.8481,18.5862,0.0,0.0435,-0.3742,0.0,0.0,0.0,4222535.7902,3311132.0861,4062221.492,-3072.3082,-3564.4633,6093.7833,4222494.6345,3311017.2381,4062202.9058,-3072.2177,-3564.4484,6093.6737,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.45357662018503,0.15472879499304582,-0.416475,6.294641936755852,14.687155858111591,,
3.0031,83.282,-26.231,3.651,79.623,-24.689,3.481,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.742,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.978,-0.0405,-0.2046,-0.2055,-0.3564,-0.9115,-0.036,0.9334,-0.3569,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0905,-0.0149,0.1096,41.1374,114.8451,18.6084,0.0,0.0435,-0.3742,0.0,0.0,0.0,4221913.9431,3310410.6667,4063454.5631,-3073.4254,-3565.3393,6092.7082,4221872.8057,3310295.8216,4063435.9547,-3073.335,-3565.3244,6092.5987,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.483866069741403,0.15472879499304582,-0.41641,6.30045314582734,14.684863607362379,,
3.2044,83.269,-26.262,3.648,79.611,-24.719,3.478,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.77,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9781,-0.0406,-0.2043,-0.2051,-0.3567,-0.9114,-0.0359,0.9333,-0.3572,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0904,-0.0149,0.1096,41.1192,114.8421,18.6305,0.0,0.0435,-0.3742,0.0,0.0,0.0,4221294.2192,3309691.7954,4064682.7626,-3074.5383,-3566.2119,6091.6369,4221253.1001,3309576.9534,4064664.1322,-3074.4479,-3566.197,6091.5273,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.514157501229413,0.15482893786369523,-0.416345,6.298149598390699,14.68257135661317,,
3.4058,83.256,-26.293,3.645,79.599,-24.748,3.475,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.799,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9781,-0.0406,-0.2039,-0.2048,-0.3571,-0.9113,-0.0358,0.9332,-0.3576,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0904,-0.0149,0.1097,41.101,114.8391,18.6526,0.0,0.0435,-0.3742,0.0,0.0,0.0,4220675.0219,3308973.6194,4065909.26,-3075.6496,-3567.0832,6090.5666,4220633.9209,3308858.7803,4065890.6075,-3075.5592,-3567.0683,6090.4569,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.54445090786396,0.15482893786369523,-0.41628,6.309757957746841,14.68027910586396,,
3.6061,83.243,-26.324,3.642,79.586,-24.777,3.472,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.827,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9782,-0.0407,-0.2036,-0.2045,-0.3574,-0.9113,-0.0356,0.9331,-0.3579,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0904,-0.0149,0.1097,41.0829,114.8361,18.6745,0.0,0.0435,-0.3742,0.0,0.0,0.0,4220059.0213,3308259.2337,4067128.7705,-3076.7547,-3567.9495,6089.5018,4220017.9384,3308144.3976,4067110.096,-3076.6643,-3567.9346,6089.3921,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.574746282890455,0.15482893786369523,-0.416215,6.31554883205701,14.67798685511475,,
3.8076,83.23,-26.354,3.639,79.574,-24.806,3.468,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.856,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9783,-0.0408,-0.2032,-0.2042,-0.3577,-0.9112,-0.0355,0.9329,-0.3583,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0903,-0.0149,0.1098,41.0647,114.8331,18.6966,0.0,0.0435,-0.3742,0.0,0.0,0.0,4219439.2183,3307540.5228,4068355.1526,-3077.866,-3568.8207,6088.4305,4219398.1537,3307425.6898,4068336.4559,-3077.7756,-3568.8058,6088.3208,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.604053018290276,0.15482893786369523,-0.41615,6.314252304021601,14.67569460436554,,
4.0094,83.217,-26.385,3.636,79.562,-24.835,3.465,-0.065,-0.154,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.884,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9784,-0.0409,-0.2028,-0.2039,-0.358,-0.9112,-0.0354,0.9328,-0.3586,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0903,-0.0149,0.1098,41.0465,114.8301,18.7187,0.0,0.0435,-0.3742,0.0,0.0,0.0,4218820.7386,3306823.4299,4069578.26,-3078.9743,-3569.6895,6087.3616,4218779.6921,3306708.5998,4069559.5413,-3078.884,-3569.6746,6087.2518,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.63435227295757,0.15482893786369523,-0.416085,6.3258631353295645,14.67340235361633,,
4.2107,83.204,-26.416,3.632,79.55,-24.864,3.462,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.913,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9784,-0.0409,-0.2025,-0.2035,-0.3583,-0.9111,-0.0353,0.9327,-0.3589,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0903,-0.0149,0.1098,41.0283,114.8271,18.7409,0.0,0.0435,-0.3742,0.0,0.0,0.0,4218197.7113,3306101.149,4070809.6989,-3080.0903,-3570.5641,6086.2849,4218156.683,3305986.3219,4070790.958,-3080.0,-3570.5493,6086.1751,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.66451724670822,0.1538343264684446,-0.41601999999999995,6.337118458075846,14.671110102867118,,
4.4119,83.191,-26.447,3.629,79.537,-24.893,3.459,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.941,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9785,-0.041,-0.2021,-0.2032,-0.3587,-0.9111,-0.0351,0.9326,-0.3593,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0902,-0.0149,0.1099,41.0101,114.8241,18.763,0.0,0.0435,-0.3742,0.0,0.0,0.0,4217577.8192,3305382.5866,4072034.2817,-3081.2001,-3571.4339,6085.2137,4217536.8091,3305267.7624,4072015.5187,-3081.1098,-3571.4191,6085.1038,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.694820658697072,0.1538343264684446,-0.415955,6.342882213312656,14.66881785211791,,
4.6137,83.178,-26.478,3.626,79.525,-24.922,3.456,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.97,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9786,-0.0411,-0.2018,-0.2029,-0.359,-0.911,-0.035,0.9324,-0.3596,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0902,-0.0149,0.1099,40.9919,114.8211,18.7852,0.0,0.0435,-0.3742,0.0,0.0,0.0,4216955.432,3304661.2165,4073263.1337,-3082.3137,-3572.3067,6084.1382,4216914.4401,3304546.3954,4073244.3485,-3082.2235,-3572.2918,6084.0283,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.725126005315673,0.1538343264684446,-0.41589,6.354484834984016,14.666525601368699,,
4.8154,83.165,-26.509,3.623,79.513,-24.951,3.453,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.998,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9786,-0.0411,-0.2014,-0.2026,-0.3593,-0.911,-0.0349,0.9323,-0.36,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0901,-0.0149,0.11,40.9737,114.8181,18.8074,0.0,0.0435,-0.3742,0.0,0.0,0.0,4216333.7441,3303940.7412,4074489.9453,-3083.4256,-3573.178,6083.064,4216292.7704,3303825.9231,4074471.1379,-3083.3354,-3573.1631,6082.954,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.755433279990065,0.1538343264684446,-0.41582500000000006,6.3660886124192055,14.66423335061949,,
