SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1539,23.965,0.023,0.46,19.991,0.068,0.499,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.005,41.1498,40.6598,-17.9808,0.0,0.0435,-0.3736,0.0,0.0,0.0,1383003.0793,2055002.7291,-6267703.9512,5491.8932,4631.4991,2735.4619,1382961.9294,2054962.0693,-6267685.9704,5491.8942,4631.5001,2735.4669,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4605746410735181,0.005,-0.119825,1.9581974466960328,4.225676092678363,,
0.3567,23.965,0.022,0.461,19.991,0.067,0.499,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.005,41.1496,40.6596,-17.9818,0.0,0.0435,-0.3736,0.0,0.0,0.0,1384109.1581,2055935.4995,-6267152.839,5491.5303,4630.96,2737.1057,1384068.0085,2055894.8399,-6267134.8571,5491.5313,4630.961,2737.1107,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46152464722915937,0.005,-0.119825,1.9440769150457624,4.225676092678363,,
0.5668,23.965,0.022,0.461,19.991,0.067,0.5,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0051,41.1494,40.6594,-17.9829,0.0,0.0435,-0.3736,0.0,0.0,0.0,1385263.5294,2056908.9446,-6266577.277,5491.1512,4630.3971,2738.8212,1385222.38,2056868.2851,-6266559.2941,5491.1523,4630.3981,2738.8262,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46152464722915937,0.005,-0.119825,1.959403746631786,4.225676092678363,,
0.7732,23.964,0.021,0.462,19.991,0.066,0.501,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0051,41.1492,40.6592,-17.9839,0.0,0.0435,-0.3736,0.0,0.0,0.0,1386397.4835,2057865.1233,-6266011.5017,5490.7786,4629.8439,2740.5063,1386356.3343,2057824.464,-6265993.5178,5490.7796,4629.8449,2740.5114,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46247702645645006,0.005,-0.11982,1.9608116776413673,4.225499765697655,,
0.982,23.964,0.02,0.463,19.991,0.065,0.501,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0051,41.149,40.659,-17.985,0.0,0.0435,-0.3736,0.0,0.0,0.0,1387539.123,2058827.7321,-6265441.5043,5490.403,4629.2865,2742.2028,1387497.974,2058787.0731,-6265423.5193,5490.4041,4629.2875,2742.2079,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46343176412498965,0.005,-0.11982,1.9466755254604151,4.225499765697655,,
1.1896,23.964,0.019,0.463,19.991,0.064,0.502,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0051,41.1488,40.6588,-17.9861,0.0,0.0435,-0.3736,0.0,0.0,0.0,1388681.829,2059791.1906,-6264870.5798,5490.0268,4628.7284,2743.9008,1388640.6803,2059750.5318,-6264852.5937,5490.0279,4628.7294,2743.9059,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4633896848226124,0.005,-0.11982,1.9610247312793856,4.225499765697655,,
1.3951,23.964,0.018,0.464,19.991,0.063,0.503,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0052,41.1486,40.6586,-17.9871,0.0,0.0435,-0.3736,0.0,0.0,0.0,1389812.3336,2060744.312,-6264305.3661,5489.6543,4628.1759,2745.5807,1389771.1851,2060703.6534,-6264287.379,5489.6553,4628.177,2745.5858,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4643490066749363,0.005,-0.11982,1.9622505151820595,4.225499765697655,,
1.5957,23.964,0.017,0.465,19.991,0.062,0.503,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0052,41.1484,40.6584,-17.9882,0.0,0.0435,-0.3736,0.0,0.0,0.0,1390911.1252,2061670.6492,-6263755.6402,5489.2919,4627.6387,2747.2134,1390869.9769,2061629.9908,-6263737.652,5489.2929,4627.6397,2747.2185,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46531064892177143,0.005,-0.11982,1.9480978440333168,4.225499765697655,,
1.8064,23.964,0.017,0.465,19.991,0.061,0.504,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0052,41.1481,40.6582,-17.9893,0.0,0.0435,-0.3736,0.0,0.0,0.0,1392070.8365,2062648.2951,-6263175.0393,5488.9091,4627.0714,2748.9366,1392029.6883,2062607.6369,-6263157.0501,5488.9101,4627.0724,2748.9418,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46531064892177143,0.005,-0.11982,1.9566715932344707,4.225499765697655,,
2.0152,23.964,0.016,0.466,19.991,0.061,0.505,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0052,41.1479,40.658,-17.9904,0.0,0.0435,-0.3736,0.0,0.0,0.0,1393218.7967,2063615.9832,-6262599.926,5488.5298,4626.5095,2750.6423,1393177.6488,2063575.3252,-6262581.9356,5488.5308,4626.5105,2750.6475,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4662745972064101,0.005,-0.11982,1.964717977286423,4.225499765697655,,
2.2244,23.964,0.015,0.467,19.991,0.06,0.506,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0053,41.1477,40.6577,-17.9914,0.0,0.0435,-0.3736,0.0,0.0,0.0,1394362.2411,2064579.8146,-6262026.6791,5488.1517,4625.9495,2752.3412,1394321.0934,2064539.1569,-6262008.6877,5488.1527,4625.9505,2752.3465,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46724083725633403,0.005,-0.11982,1.9659596354627513,4.225499765697655,,
2.4317,23.964,0.014,0.468,19.991,0.059,0.506,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0053,41.1475,40.6575,-17.9925,0.0,0.0435,-0.3736,0.0,0.0,0.0,1395500.9698,2065539.6209,-6261455.4066,5487.7747,4625.3915,2754.0331,1395459.8223,2065498.9634,-6261437.4141,5487.7758,4625.3925,2754.0384,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46820935488304805,0.00565685424949238,-0.11982,1.9517889188893671,4.225499765697655,,
2.6413,23.964,0.013,0.468,19.991,0.058,0.507,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0053,41.1472,40.6573,-17.9937,0.0,0.0435,-0.3736,0.0,0.0,0.0,1396652.902,2066510.5053,-6260877.1134,5487.3931,4624.8268,2755.7446,1396611.7548,2066469.848,-6260859.1198,5487.3942,4624.8278,2755.7499,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4681805207395968,0.00565685424949238,-0.11982,1.966223641057366,4.225499765697655,,
2.8518,23.964,0.012,0.469,19.99,0.057,0.508,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0053,41.147,40.6571,-17.9948,0.0,0.0435,-0.3736,0.0,0.0,0.0,1397808.9532,2067484.8101,-6260296.3503,5487.0098,4624.2597,2757.4621,1397767.8062,2067444.153,-6260278.3556,5487.0109,4624.2607,2757.4675,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4691534930062868,0.00565685424949238,-0.11982,1.9673352528663388,4.225499765697655,,
3.0619,23.964,0.011,0.47,19.99,0.056,0.509,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0054,41.1468,40.6569,-17.9959,0.0,0.0435,-0.3736,0.0,0.0,0.0,1398958.992,2068453.9972,-6259718.2059,5486.6281,4623.6953,2759.1707,1398917.8452,2068413.3403,-6259700.21,5486.6292,4623.6963,2759.1761,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4701287057817253,0.00565685424949238,-0.11982,1.9685965793047668,4.225499765697655,,
3.2728,23.964,0.01,0.471,19.99,0.055,0.509,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0054,41.1466,40.6567,-17.997,0.0,0.0435,-0.3736,0.0,0.0,0.0,1400118.7504,2069431.3233,-6259134.7745,5486.2429,4623.1258,2760.8937,1400077.6039,2069390.6666,-6259116.7775,5486.244,4623.1268,2760.8991,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4711061451520241,0.00565685424949238,-0.11982,1.9544072816035645,4.225499765697655,,
3.4759,23.964,0.009,0.471,19.99,0.054,0.51,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0054,41.1464,40.6565,-17.9981,0.0,0.0435,-0.3736,0.0,0.0,0.0,1401229.3668,2070367.1894,-6258575.6832,5485.8737,4622.5801,2762.5437,1401188.2204,2070326.5329,-6258557.6851,5485.8747,4622.5811,2762.5491,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.47108597941352487,0.00565685424949238,-0.11982,1.9688938096297581,4.225499765697655,,
3.6768,23.964,0.009,0.472,19.99,0.054,0.511,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0054,41.1461,40.6563,-17.9992,0.0,0.0435,-0.3736,0.0,0.0,0.0,1402332.7008,2071296.8716,-6258019.8908,5485.5065,4622.0377,2764.1828,1402291.5546,2071256.2154,-6258001.8916,5485.5076,4622.0388,2764.1882,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4720857972868915,0.00565685424949238,-0.11982,1.9711349410204606,4.225499765697655,,
3.8802,23.964,0.008,0.473,19.99,0.053,0.511,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0054,41.1459,40.656,-18.0003,0.0,0.0435,-0.3736,0.0,0.0,0.0,1403446.8936,2072235.6558,-6257458.2578,5485.1354,4621.4897,2765.838,1403405.7477,2072194.9998,-6257440.2575,5485.1365,4621.4908,2765.8434,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4730676484394172,0.00565685424949238,-0.11982,1.9569341752259868,4.225499765697655,,
4.0834,23.964,0.007,0.474,19.99,0.052,0.512,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0055,41.1457,40.6558,-18.0014,0.0,0.0435,-0.3736,0.0,0.0,0.0,1404562.8748,2073175.8994,-6256895.3458,5484.7635,4620.9406,2767.4958,1404521.7291,2073135.2435,-6256877.3444,5484.7646,4620.9416,2767.5012,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4740516849458506,0.00565685424949238,-0.11982,1.958205524187613,4.225499765697655,,
4.2933,23.964,0.006,0.474,19.99,0.051,0.513,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0055,41.1455,40.6556,-18.0026,0.0,0.0435,-0.3736,0.0,0.0,0.0,1405711.4546,2074143.558,-6256315.5985,5484.3803,4620.3751,2769.202,1405670.3091,2074102.9024,-6256297.5959,5484.3814,4620.3761,2769.2075,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4740379731624883,0.00565685424949238,-0.11982,1.9727357913257362,4.225499765697655,,
4.4978,23.964,0.005,0.475,19.99,0.05,0.514,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0055,41.1452,40.6554,-18.0037,0.0,0.0435,-0.3736,0.0,0.0,0.0,1406833.7775,2075089.0464,-6255748.7211,5484.0055,4619.8222,2770.8691,1406792.6323,2075048.391,-6255730.7174,5484.0066,4619.8233,2770.8747,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4750263150605448,0.00565685424949238,-0.11982,1.97402685904555,4.225499765697655,,
4.6982,23.964,0.004,0.476,19.99,0.049,0.514,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0055,41.145,40.6552,-18.0048,0.0,0.0435,-0.3736,0.0,0.0,0.0,1407934.2429,2076016.0739,-6255192.5155,5483.6377,4619.2798,2772.5038,1407893.0979,2075975.4187,-6255174.5107,5483.6389,4619.2809,2772.5093,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4760168064259916,0.00565685424949238,-0.11982,1.9598053443070158,4.225499765697655,,
4.8985,23.963,0.003,0.477,19.99,0.048,0.515,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0056,41.1448,40.655,-18.0059,0.0,0.0435,-0.3736,0.0,0.0,0.0,1409030.825,2076939.7839,-6254637.908,5483.271,4618.7391,2774.1326,1408989.6802,2076899.1289,-6254619.9021,5483.2721,4618.7401,2774.1382,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.47700943386897493,0.00565685424949238,-0.119815,1.9612867748779845,4.225323438716947,,
5.1065,23.963,0.002,0.477,19.99,0.047,0.516,-0.0,-0.004,0.004,-0.0,-0.004,0.004,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0011,-0.001,-0.0056,41.1446,40.6548,-18.0071,0.0,0.0435,-0.3736,0.0,0.0,0.0,1410169.7676,2077899.1277,-6254061.4908,5482.8897,4618.1772,2775.8244,1410128.6231,2077858.4729,-6254043.4837,5482.8908,4618.1782,2775.83,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.47700419285368967,0.00565685424949238,-0.119815,1.97587323654313,4.225323438716947,,
