SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1337,83.468,-25.792,3.695,79.798,-24.276,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.338,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3964,114.8878,18.2963,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230456.6947,3320570.8397,4046879.4224,-3057.6503,-3552.9637,6107.8431,4230415.2983,3320455.952,4046861.1261,-3057.5593,-3552.9487,6107.734,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.055331297068552,0.15472879499304582,-0.41734000000000004,6.187279258841316,14.717660425774156,,
0.3361,83.455,-25.823,3.692,79.786,-24.305,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.367,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.378,114.8847,18.3184,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229838.1879,3319852.1821,4048114.5928,-3058.7687,-3553.8416,6106.7729,4229796.8099,3319737.2974,4048096.2744,-3058.6778,-3553.8266,6106.6638,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.085593591099283,0.15472879499304582,-0.417275,6.198887344649283,14.715368175024944,,
0.5526,83.44,-25.856,3.688,79.772,-24.337,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.397,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.209,-0.2093,-0.3526,-0.9121,-0.0375,0.935,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3583,114.8815,18.342,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229176.4844,3319083.4277,4049435.2883,-3059.9647,-3554.7802,6105.628,4229135.1261,3318968.5462,4049416.9463,-3059.8738,-3554.7652,6105.5189,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.117696682517778,0.15472879499304582,-0.4172,6.194629423827112,14.712723270314317,,
0.7531,83.427,-25.887,3.685,79.76,-24.366,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.426,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3531,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3401,114.8785,18.3639,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228562.43,3318370.1185,4050660.1981,-3061.0739,-3555.6507,6104.5657,4228521.0899,3318255.2401,4050641.8342,-3060.983,-3555.6357,6104.4566,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.147963477104675,0.15472879499304582,-0.41713500000000003,6.20623881595911,14.710431019565108,,
0.9541,83.414,-25.918,3.682,79.748,-24.395,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.454,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2087,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3219,114.8755,18.3858,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227948.0773,3317656.5465,4051885.0457,-3062.1831,-3556.5211,6103.5029,4227906.7554,3317541.671,4051866.6599,-3062.0923,-3556.5062,6103.3937,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.178232331461956,0.15472879499304582,-0.41707,6.217849655962281,14.708138768815898,,
1.1549,83.401,-25.949,3.679,79.735,-24.424,3.509,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.483,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2079,-0.2084,-0.3535,-0.9119,-0.0372,0.9346,-0.3538,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3036,114.8725,18.4077,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227332.5439,3316941.6874,4053111.5894,-3063.2939,-3557.3927,6102.4382,4227291.2402,3316826.815,4053093.1816,-3063.2031,-3557.3778,6102.3289,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.208503238452973,0.15472879499304582,-0.41700499999999996,6.22372688455406,14.705846518066688,,
1.3556,83.388,-25.98,3.676,79.723,-24.453,3.506,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.511,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2075,-0.2081,-0.3538,-0.9119,-0.037,0.9345,-0.3541,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1093,41.2854,114.8695,18.4297,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226717.9817,3316228.0399,4054335.5401,-3064.4024,-3558.2625,6101.3752,4226676.6963,3316113.1704,4054317.1104,-3064.3116,-3558.2475,6101.2659,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.238776190973542,0.15472879499304582,-0.41694000000000003,6.235332507904137,14.703554267317479,,
1.5563,83.375,-26.011,3.673,79.711,-24.482,3.503,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.539,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2072,-0.2077,-0.3541,-0.9118,-0.0369,0.9343,-0.3545,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.015,0.1093,41.2672,114.8665,18.4516,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226102.5916,3315513.515,4055560.4828,-3065.5118,-3559.1328,6100.3108,4226061.3244,3315398.6485,4055542.0312,-3065.421,-3559.1179,6100.2015,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.26905118195174,0.15472879499304582,-0.416875,6.246939528956898,14.701262016568267,,
1.7569,83.362,-26.042,3.67,79.699,-24.511,3.5,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.568,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2068,-0.2074,-0.3545,-0.9118,-0.0368,0.9342,-0.3548,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2489,114.8635,18.4736,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225486.343,3314798.077,4056786.4759,-3066.6221,-3560.0039,6099.245,4225445.094,3314683.2135,4056768.0023,-3066.5315,-3559.989,6099.1356,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.29932820434773,0.15472879499304582,-0.41680999999999996,6.2585479298765465,14.698969765819056,,
1.9572,83.349,-26.072,3.667,79.686,-24.54,3.497,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.596,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2065,-0.2071,-0.3548,-0.9117,-0.0367,0.9341,-0.3552,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2308,114.8605,18.4955,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224872.0284,3314084.9679,4058007.9667,-3067.7285,-3560.8718,6098.1826,4224830.7976,3313970.1074,4057989.4712,-3067.6378,-3560.8569,6098.0732,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.32861699748014,0.15472879499304582,-0.41674500000000003,6.251101120753042,14.696677515069847,,
2.1577,83.336,-26.103,3.664,79.674,-24.569,3.494,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.624,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2061,-0.2068,-0.3551,-0.9117,-0.0365,0.934,-0.3555,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2126,114.8575,18.5174,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224257.4793,3313371.6701,4059229.2707,-3068.8347,-3561.7395,6097.1198,4224216.2666,3313256.8126,4059210.7533,-3068.7441,-3561.7246,6097.0104,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.35889802324824,0.15472879499304582,-0.41668,6.262706957814585,14.694385264320637,,
2.3585,83.323,-26.134,3.661,79.662,-24.598,3.491,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.653,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9778,-0.0403,-0.2057,-0.2065,-0.3554,-0.9116,-0.0364,0.9338,-0.3558,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1095,41.1945,114.8545,18.5394,0.0,0.0435,-0.3742,0.0,0.0,0.0,4223641.6722,3312656.9957,4060452.4197,-3069.9426,-3562.6085,6096.055,4223600.4778,3312542.1413,4060433.8804,-3069.852,-3562.5936,6095.9455,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.38918105966913,0.15472879499304582,-0.41661499999999996,6.274314134195284,14.692093013571426,,
2.5593,83.31,-26.165,3.658,79.649,-24.627,3.488,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.681,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9778,-0.0403,-0.2054,-0.2061,-0.3557,-0.9116,-0.0363,0.9337,-0.3562,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0905,-0.0149,0.1095,41.1763,114.8515,18.5613,0.0,0.0435,-0.3742,0.0,0.0,0.0,4223025.0009,3311941.4023,4061676.6294,-3071.0515,-3563.4782,6094.9887,4222983.8246,3311826.5508,4061658.0681,-3070.9609,-3563.4632,6094.8792,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.41946609982874,0.15472879499304582,-0.41655000000000003,6.280139000386667,14.689800762822218,,
2.8501,83.3,-26.188,3.656,79.64,-24.649,3.485,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.702,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9779,-0.0404,-0.2051,-0.2059,-0.356,-0.9115,-0.0362,0.9336,-0.3564,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0905,-0.0149,0.1095,41.1626,114.8492,18.5778,0.0,0.0435,-0.3742,0.0,0.0,0.0,4222562.2612,3311404.4881,4062594.8248,-3071.8832,-3564.1304,6094.1886,4222521.0986,3311289.6389,4062576.247,-3071.7927,-3564.1155,6094.079,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.441968156701197,0.15472879499304582,-0.4165,6.283780465729277,14.688037493015132,,
3.0609,83.277,-26.242,3.65,79.619,-24.7,3.48,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.752,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.978,-0.0405,-0.2045,-0.2053,-0.3565,-0.9114,-0.036,0.9334,-0.357,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0905,-0.0149,0.1096,41.1309,114.844,18.6163,0.0,0.0435,-0.3742,0.0,0.0,0.0,4221483.382,3310152.8537,4064734.1682,-3073.8211,-3565.6501,6092.3233,4221442.2511,3310038.0097,4064715.5519,-3073.7307,-3565.6352,6092.2137,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.49462330360634,0.15482893786369523,-0.416385,6.298367522892354,14.683981972458838,,
3.2615,83.264,-26.273,3.647,79.607,-24.729,3.477,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.781,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9781,-0.0406,-0.2041,-0.205,-0.3569,-0.9114,-0.0359,0.9333,-0.3574,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0904,-0.0149,0.1096,41.1127,114.841,18.6383,0.0,0.0435,-0.3742,0.0,0.0,0.0,4220866.4267,3309437.223,4065956.6469,-3074.9286,-3566.5184,6091.2568,4220825.314,3309322.382,4065938.0086,-3074.8381,-3566.5035,6091.1471,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.524915419280795,0.15482893786369523,-0.41631999999999997,6.309979309380581,14.681689721709628,,
3.4628,83.251,-26.304,3.644,79.594,-24.758,3.474,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.809,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9782,-0.0407,-0.2038,-0.2047,-0.3572,-0.9113,-0.0357,0.9331,-0.3577,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0904,-0.0149,0.1097,41.0945,114.838,18.6604,0.0,0.0435,-0.3742,0.0,0.0,0.0,4220246.7771,3308718.5516,4067183.8068,-3076.0403,-3567.3901,6090.1856,4220205.6826,3308603.7136,4067165.1464,-3075.9499,-3567.3752,6090.0759,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.55520950774066,0.15482893786369523,-0.41625500000000004,6.315776372945539,14.679397470960419,,
3.663,83.238,-26.335,3.641,79.582,-24.787,3.471,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.837,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9782,-0.0407,-0.2034,-0.2044,-0.3575,-0.9113,-0.0356,0.933,-0.358,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0903,-0.0149,0.1097,41.0764,114.835,18.6824,0.0,0.0435,-0.3742,0.0,0.0,0.0,4219631.1244,3308004.5992,4068402.399,-3077.1443,-3568.2556,6089.1214,4219590.048,3307889.7642,4068383.7167,-3077.0539,-3568.2407,6089.0117,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.585505562241995,0.15482893786369523,-0.41619,6.327382629552176,14.677105220211207,,
3.8636,83.225,-26.365,3.638,79.57,-24.816,3.467,-0.065,-0.154,-0.016,-0.061,-0.145,-0.016,-0.142,-2.458,21.866,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9783,-0.0408,-0.2031,-0.2041,-0.3578,-0.9112,-0.0355,0.9329,-0.3584,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0903,-0.0149,0.1098,41.0583,114.832,18.7044,0.0,0.0435,-0.3742,0.0,0.0,0.0,4219013.5332,3307288.4817,4069624.1744,-3078.2512,-3569.1233,6088.054,4218972.4749,3307173.6497,4069605.47,-3078.1608,-3569.1084,6087.9442,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.614812961957856,0.15482893786369523,-0.41612499999999997,6.326092438540007,14.674812969461996,,
4.0643,83.212,-26.396,3.634,79.558,-24.845,3.464,-0.065,-0.154,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.894,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9784,-0.0409,-0.2027,-0.2037,-0.3581,-0.9112,-0.0354,0.9328,-0.3587,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0903,-0.0149,0.1098,41.0402,114.8291,18.7264,0.0,0.0435,-0.3742,0.0,0.0,0.0,4218395.4845,3306571.9178,4070846.2018,-3079.3583,-3569.9912,6086.9858,4218354.4443,3306457.0887,4070827.4754,-3079.268,-3569.9763,6086.876,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.644976487135434,0.15482893786369523,-0.41606000000000004,6.337353519509695,14.672520718712788,,
4.2651,83.199,-26.427,3.631,79.545,-24.874,3.461,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.922,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9785,-0.0409,-0.2024,-0.2034,-0.3585,-0.9111,-0.0352,0.9326,-0.3591,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0902,-0.0149,0.1098,41.0221,114.8261,18.7485,0.0,0.0435,-0.3742,0.0,0.0,0.0,4217777.5732,3305855.5963,4072067.3038,-3080.4647,-3570.8583,6085.9179,4217736.5511,3305740.7702,4072048.5554,-3080.3744,-3570.8435,6085.8081,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.6752786302224,0.1538343264684446,-0.415995,6.343123471313627,14.670228467963577,,
4.4659,83.186,-26.458,3.628,79.533,-24.903,3.458,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.951,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9785,-0.041,-0.202,-0.2031,-0.3588,-0.9111,-0.0351,0.9325,-0.3594,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0902,-0.0149,0.1099,41.0039,114.8231,18.7705,0.0,0.0435,-0.3742,0.0,0.0,0.0,4217158.6315,3305138.1637,4073289.7876,-3081.5723,-3571.7265,6084.8483,4217117.6276,3305023.3406,4073271.0171,-3081.4821,-3571.7116,6084.7384,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.70558271223453,0.1538343264684446,-0.41593,6.35472954892026,14.667936217214368,,
4.6665,83.173,-26.489,3.625,79.521,-24.932,3.455,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,21.979,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9786,-0.0411,-0.2016,-0.2028,-0.3591,-0.911,-0.035,0.9324,-0.3597,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0902,-0.0149,0.1099,40.9858,114.8201,18.7926,0.0,0.0435,-0.3742,0.0,0.0,0.0,4216538.4212,3304419.3441,4074514.1208,-3082.6816,-3572.5959,6083.7765,4216497.4354,3304304.524,4074495.3282,-3082.5915,-3572.581,6083.6666,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.73588872657874,0.1538343264684446,-0.415865,6.36633678869036,14.665643966465158,,
4.8673,83.16,-26.519,3.622,79.509,-24.961,3.452,-0.065,-0.153,-0.016,-0.061,-0.144,-0.016,-0.142,-2.458,22.008,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9787,-0.0412,-0.2013,-0.2025,-0.3594,-0.9109,-0.0348,0.9323,-0.3601,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0901,-0.0148,0.11,40.9677,114.8171,18.8146,0.0,0.0435,-0.3742,0.0,0.0,0.0,4215921.2482,3303704.1282,4075731.8075,-3083.785,-3573.4605,6082.7101,4215880.2805,3303589.3111,4075712.9928,-3083.6949,-3573.4457,6082.6002,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.765205865077892,0.1538343264684446,-0.4158,6.364692882187977,14.663351715715947,,
